NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
2,킹스맨: 퍼스트 에이전트,매튜 본,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-12-,개봉영화,장편,미국,,,,,,액션,청소년관람불가,일반영화
3,유체이탈자,윤재근,"(주)비에이엔터테인먼트,(주)사람엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2021-11-,개봉영화,장편,한국,,,,,,판타지,15세이상관람가,일반영화
4,연애 빠진 로맨스,정가영,"(주)씨제이이엔엠,트웰브져니(주)",,(주)씨제이이엔엠,2021-11-,개봉영화,장편,한국,967,,,,,멜로/로맨스,15세이상관람가,일반영화
5,엔칸토: 마법의 세계,"바이론 하워드,자레드 부시,채리스 카스트로 스미스",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
6,매트릭스: 리저렉션,라나 워쇼스키,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-12-,개봉영화,장편,미국,970,,,,,액션,15세이상관람가,일반영화
7,듄,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-10-,개봉영화,장편,미국,,,,,,SF,12세이상관람가,일반영화
8,해피 뉴 이어,곽재용,(주)하이브미디어코프,,"(주)씨제이이엔엠,주식회사 티빙",2021-12-,개봉영화,장편,한국,832,,,,,멜로/로맨스,12세이상관람가,일반영화
9,고스트버스터즈 라이즈,제이슨 라이트맨,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-,개봉영화,장편,미국,888,,,,,어드벤처,12세이상관람가,일반영화
10,돈 룩 업,아담 맥케이,,,씨제이 씨지브이(CJ CGV)(주),2021-12-,개봉영화,장편,미국,656,,,,,코미디,15세이상관람가,일반영화
11,태일이,홍준표,"(주)명필름,(주)스튜디오루머,전태일재단,유한회사 질라라비,영화 <태일이> 1970인 제작위원",,(주)리틀빅픽쳐스,2021-12-,개봉영화,장편,한국,458,,,,,애니메이션,전체관람가,독립/예술영화
12,이터널스,클로이 자오,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
13,라스트 나잇 인 소호,에드가 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-12-,개봉영화,장편,미국,511,,,,,공포(호러),청소년관람불가,일반영화
14,장르만 로맨스,조은지,(주)비리프,,(주)넥스트엔터테인먼트월드(NEW),2021-11-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
15,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,카와노 아야코,,(주)애니플러스,(주)애니플러스,2021-12-,개봉영화,장편,일본,110,,,,,애니메이션,12세이상관람가,일반영화
16,몬스타엑스 : 더 드리밍,오윤동,씨제이포디플렉스 주식회사,,씨제이포디플렉스 주식회사,2021-12-,개봉영화,장편,한국,98,,,,,다큐멘터리,전체관람가,일반영화
17,신데렐라 2: 마법에 걸린 왕자,앨리스 블레하트,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2021-12-,개봉영화,장편,미국,355,,,,,애니메이션,전체관람가,일반영화
18,귀멸의 칼날: 주합회의·나비저택 편,소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,(주)박수엔터테인먼트,2021-12-,개봉영화,장편,일본,292,,,,,애니메이션,15세이상관람가,일반영화
19,프렌치 디스패치,웨스 앤더슨,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-,개봉영화,장편,미국,273,,,,,코미디,15세이상관람가,독립/예술영화
20,드라이브 마이 카,하마구치 류스케,,"(주)영화사조아,(주)트리플픽쳐스",(주)트리플픽쳐스,2021-12-,개봉영화,장편,일본,69,,,,,드라마,15세이상관람가,독립/예술영화
21,뱅드림! 필름 라이브 세컨드 스테이지,우메츠 토모미,,(주)애니플러스,(주)애니플러스,2021-11-,개봉영화,장편,일본,93,,,,,애니메이션,전체관람가,일반영화
22,마이 뉴욕 다이어리,필리프 팔라도,,(주)영화사 진진,(주)영화사 진진,2021-12-,개봉영화,장편,캐나다,180,,,,,드라마,12세이상관람가,독립/예술영화
23,베네데타,폴 버호벤,,컴퍼니 엘론(주),(주)팝엔터테인먼트,2021-12-,개봉영화,장편,프랑스,157,,,,,드라마,청소년관람불가,독립/예술영화
24,티탄,줄리아 듀코나우,,주식회사 왓챠,"(주)영화특별시에스엠씨,주식회사 왓챠",2021-12-,개봉영화,장편,프랑스,92,,,,,드라마,청소년관람불가,독립/예술영화
25,팬텀: 더 뮤지컬 라이브,박재석,(주)위즈온센,,롯데컬처웍스(주)롯데엔터테인먼트,2021-12-,개봉영화,장편,한국,118,,,,,뮤지컬,12세이상관람가,일반영화
26,킬링 카인드: 킬러의 수제자,마틴 캠벨,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2021-12-,개봉영화,장편,미국,129,,,,,액션,15세이상관람가,일반영화
27,디어 에반 핸슨,스티븐 크보스키,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-11-,개봉영화,장편,미국,630,,,,,뮤지컬,12세이상관람가,일반영화
28,램,발디마르 요한손,,오드,오드,2021-12-,개봉영화,장편,기타,123,,,,,공포(호러),15세이상관람가,독립/예술영화
29,리슨,아나 로샤,,워터홀컴퍼니(주),워터홀컴퍼니(주),2021-12-,개봉영화,장편,영국,232,,,,,드라마,12세이상관람가,독립/예술영화
30,스파이 캣,"크리스토프 라우엔슈타인,울프강 라우엔슈타인",,주식회사 블루필름웍스,"(주)라이크콘텐츠,주식회사 블루필름웍스",2021-12-,개봉영화,장편,독일,137,,,,,애니메이션,전체관람가,독립/예술영화
31,너에게 가는 길,변규리,성소수문화환경을 위한 모임 '연분홍치마',,(주)엣나인필름,2021-11-,개봉영화,장편,한국,56,,,,,다큐멘터리,12세이상관람가,독립/예술영화
32,라임크라임,"이승환,유재욱","기린놀이터,(주)시네마달",,(주)시네마달,2021-11-,개봉영화,장편,한국,25,,,,,드라마,15세이상관람가,독립/예술영화
33,라라와 크리스마스 요정,,,주식회사 디에스이이디,(주)트리플픽쳐스,2021-12-,개봉영화,장편,노르웨이,141,,,,548,애니메이션,전체관람가,독립/예술영화
34,간호중,민규동,(주)수필름,,찬란,2021-12-,개봉영화,장편,한국,16,,,,,SF,15세이상관람가,독립/예술영화
35,노아의 방주 2: 새로운 세계로,토비 젠켈,,,"(주)대교 미디어콘텐츠사업본부,(주)팝엔터테인먼트",2021-12-,개봉영화,장편,독일,167,,,,564,애니메이션,전체관람가,일반영화
36,여타짜,이지승,"하이컨셉픽쳐스(주),(주)더그레이트컴퍼니",,(주)박수엔터테인먼트,2021-12-,개봉영화,장편,한국,151,,,,514,범죄,15세이상관람가,일반영화
37,로그 인 벨지움,유태오,태오닉 모,,(주)엣나인필름,2021-12-,개봉영화,장편,한국,53,,,,,다큐멘터리,전체관람가,독립/예술영화
38,아담스 패밀리 2,"그렉 티어넌,콘래드 베논",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2021-11-,개봉영화,장편,미국,750,,,,,애니메이션,전체관람가,일반영화
39,캅샵: 미친놈들의 전쟁,조 카나한,,(유)조이앤시네마,"(주)제이앤씨미디어그룹,(주)씨네필운",2021-12-,개봉영화,장편,미국,139,,,,,액션,15세이상관람가,일반영화
40,마마무 2021 웨어 아 위 콘서트 더 무비,손석,씨제이 씨지브이(CJ CGV)(주),,씨제이 씨지브이(CJ CGV)(주),2021-12-,개봉영화,장편,한국,37,,,,,공연,전체관람가,일반영화
41,피부를 판 남자,,,판씨네마(주),판씨네마(주),2021-12-,개봉영화,장편,기타,43,,,,,드라마,12세이상관람가,독립/예술영화
42,학교 가는 길,김정인,(주)마로스튜디오,,(주)영화사 진진,2021-05-,개봉영화,장편,한국,90,,,,601,다큐멘터리,12세이상관람가,독립/예술영화
43,나는 조선사람입니다,김철민,"엠앤씨에프,다큐창작소,(주)영화사진",,"㈜인디스토리,엠앤씨에프",2021-12-,개봉영화,장편,한국,23,,,,,다큐멘터리,12세이상관람가,독립/예술영화
44,아네트,레오스 카락스,,주식회사 왓챠,"그린나래미디어(주),주식회사 왓챠",2021-10-,개봉영화,장편,프랑스,330,,,,,드라마,15세이상관람가,독립/예술영화
45,끝없음에 관하여,로이 안데르손,,찬란,찬란,2021-12-,개봉영화,장편,기타,38,,,,,기타,12세이상관람가,독립/예술영화
