NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,소울,피트 닥터,"월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오",월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210120,개봉영화,장편,미국,2018,9474732770,1005644,3073258830,319019,애니메이션,전체관람가,일반영화
2,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),20210127,개봉영화,장편,일본,380,6743770680,686807,1691509490,160451,애니메이션,15세이상관람가,일반영화
3,미션 파서블,김형주,(주)노시스컴퍼니,,(주)메리크리스마스,20210217,개봉영화,장편,한국,930,2989660480,331069,559680560,61672,코미디,15세이상관람가,일반영화
4,새해전야,홍지영,(주)수필름,,(주)에이스메이커무비웍스,20210210,개봉영화,장편,한국,906,1552655580,168168,388147970,41828,멜로/로맨스,12세이상관람가,일반영화
5,몬스터 헌터,폴 W.S. 앤더슨,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,20210210,개봉영화,장편,미국,668,965858800,101631,217347230,21931,액션,12세이상관람가,일반영화
6,카오스 워킹,더그 라이만,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20210224,개봉영화,장편,미국,780,824301600,99826,271256460,36171,어드벤처,15세이상관람가,일반영화
7,톰과 제리,팀 스토리,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210224,개봉영화,장편,미국,918,767650210,91341,196265240,23176,애니메이션,전체관람가,일반영화
8,어니스트 씨프,마크 윌리엄스,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,20210203,개봉영화,장편,미국,554,711250860,80111,197732610,22531,액션,15세이상관람가,일반영화
9,세자매,이승원,(주)영화사 업,,(주)리틀빅픽쳐스,20210127,개봉영화,장편,한국,569,334261000,38850,108505550,12710,드라마,15세이상관람가,독립/예술영화
10,아이,김현탁,"(주)엠씨엠씨,(주)무비락",,롯데컬처웍스(주)롯데엔터테인먼트,20210210,개봉영화,장편,한국,504,294475020,37303,85061310,13701,드라마,15세이상관람가,일반영화
11,명탐정 코난: 진홍의 수학여행,야마모토 야스이치로,,(주)씨제이이엔엠,(주)씨제이이엔엠,20210127,개봉영화,장편,일본,532,218347220,24441,41924960,4573,애니메이션,12세이상관람가,일반영화
12,퍼펙트 케어,J 블레이크슨,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210219,개봉영화,장편,미국,308,181249000,21576,81430780,9622,범죄,15세이상관람가,일반영화
13,고백,서은영,퍼레이드 픽쳐스,,(주)리틀빅픽쳐스,20210224,개봉영화,장편,한국,255,142698000,20052,40747400,6196,드라마,15세이상관람가,독립/예술영화
14,드림빌더,,,주식회사 디에스이이디,(주)트리플픽쳐스,20210210,개봉영화,장편,기타,327,152930140,17929,50250250,5777,애니메이션,전체관람가,독립/예술영화
15,송가인 더 드라마,"이태슬,김성윤",포켓돌스튜디오,,(주)영화특별시에스엠씨,20210211,개봉영화,장편,한국,117,174023000,16100,50645000,4631,공연,전체관람가,일반영화
16,더블패티,백승환,(주)백그림,,"케이티하이텔(주),판씨네마(주)",20210217,개봉영화,장편,한국,265,116010140,13341,43449410,4842,드라마,15세이상관람가,일반영화
17,페어웰,룰루 왕,,오드,오드,20210204,개봉영화,장편,미국,162,102373700,12234,58286100,6752,가족,전체관람가,독립/예술영화
18,엘프,우테 폰 뮌쇼폴,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,20210210,개봉영화,장편,독일,228,99761300,11859,36232410,4307,애니메이션,전체관람가,일반영화
19,워 위드 그랜파,팀 힐,,(주)스톰픽쳐스코리아,"(주)키다리이엔티,(주)태양미디어그룹",20210224,개봉영화,장편,미국,322,83891230,10379,33512260,4041,코미디,12세이상관람가,독립/예술영화
20,스트레스 제로,이대희,"(주)이대희 애니메이션스튜디오,(주)302플래닛",,(주)트리플픽쳐스,20210203,개봉영화,장편,한국,157,65363700,8541,16812200,2298,애니메이션,전체관람가,독립/예술영화
21,빛과 철,배종대,"원테이크필름,영화사 새삶",,찬란,20210218,개봉영화,장편,한국,161,68528150,8244,38640610,4445,드라마,12세이상관람가,독립/예술영화
22,마리오네트,앨버트 반 스트리엔,,(주)이놀미디어,(주)이놀미디어,20210217,개봉영화,장편,네덜란드,138,60586600,7318,17778600,2179,미스터리,12세이상관람가,독립/예술영화
23,나는 나를 해고하지 않는다,이태겸,"(주)홍시쥔,아트 윙",,(주)영화사 진진,20210128,개봉영화,장편,한국,313,54907740,7250,24946430,3142,드라마,12세이상관람가,독립/예술영화
24,라스트 레터,이와이 슌지,,(주)미디어캐슬,(주)스튜디오 산타클로스엔터테인먼트,20210224,개봉영화,장편,일본,160,56288410,6652,32125760,3685,멜로/로맨스,전체관람가,독립/예술영화
25,더 레이서,키에론 J 월쉬,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,20210224,개봉영화,장편,기타,146,53247500,6470,27398480,3285,드라마,15세이상관람가,독립/예술영화
26,세상의 모든 디저트: 러브 사라,,,(주)티캐스트,(주)티캐스트,20210204,개봉영화,장편,영국,117,52705170,6253,33627590,3883,드라마,12세이상관람가,독립/예술영화
27,북스마트,올리비아 와일드,,(주)콘텐츠판다,(주)콘텐츠판다,20210127,개봉영화,장편,미국,163,40334780,4994,19452910,2528,코미디,15세이상관람가,독립/예술영화
28,호라이즌 라인,마이클 마키마인,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20210210,개봉영화,장편,미국,80,32331070,4718,14021390,2161,스릴러,12세이상관람가,일반영화
