NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,범죄도시 2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,메가박스중앙(주)플러스엠",2022-05-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
2,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-05-,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
3,배드 가이즈,피에르 페리펠,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-05-,개봉영화,장편,미국,844,,,,,애니메이션,전체관람가,일반영화
4,니 부모 얼굴이 보고 싶다,김지훈,"(주)더타워픽쳐스,이십세기폭스 인터내셔널 프로덕션,(주)리버픽쳐스",,(주)마인드마크,2022-04-,개봉영화,장편,한국,,,,,,드라마,15세이상관람가,일반영화
5,그대가 조국,이승준,(주)켈빈클레인프로젝트,,(주)엣나인필름,2022-05-,개봉영화,장편,한국,601,,,,,다큐멘터리,12세이상관람가,독립/예술영화
6,신비한 동물들과 덤블도어의 비밀,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2022-04-,개봉영화,장편,미국,,,,,,어드벤처,12세이상관람가,일반영화
7,극장판 엉덩이 탐정: 수플레 섬의 비밀,자코 아키후미,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2022-05-,개봉영화,장편,일본,770,,,,,애니메이션,전체관람가,일반영화
8,서울괴담,홍원기,"쟈니브로스(주),메가박스중앙(주)플러스엠",,메가박스중앙(주)플러스엠,2022-04-,개봉영화,장편,한국,474,,,,,공포(호러),15세이상관람가,일반영화
9,수퍼 소닉2,제프 파울러,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-04-,개봉영화,장편,미국,,,,,,애니메이션,전체관람가,일반영화
10,민스미트 작전,존 매든,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022-05-,개봉영화,장편,미국,459,,,,,드라마,12세이상관람가,일반영화
11,공기살인,조용선,"(주)마스터원엔터테인먼트,TCO(주)더콘텐츠온",,"TCO(주)더콘텐츠온,씨제이 씨지브이(CJ CGV)(주)",2022-04-,개봉영화,장편,한국,756,,,,,드라마,12세이상관람가,일반영화
12,"아치의 노래, 정태춘",고영재,(주)인디플러그,,(주)넥스트엔터테인먼트월드(NEW),2022-05-,개봉영화,장편,한국,149,,,,,다큐멘터리,전체관람가,독립/예술영화
13,어부바,최종학,"(주)글로빅엔터테인먼트,(주)에이치에이케이프로덕션",,(주)트리플픽쳐스,2022-05-,개봉영화,장편,한국,327,,,,,가족,전체관람가,독립/예술영화
14,우연과 상상,하마구치 류스케,,그린나래미디어(주),"그린나래미디어(주),(주)영화사 안다미로",2022-05-,개봉영화,장편,일본,56,,,,,드라마,15세이상관람가,독립/예술영화
15,안녕하세요,차봉주,"(주)디엔디픽쳐스,(유)안녕하세요",,(주)디스테이션,2022-05-,개봉영화,장편,한국,297,,,,,드라마,12세이상관람가,일반영화
16,엄마,아이리스 심,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2022-05-,개봉영화,장편,미국,190,,,,,스릴러,12세이상관람가,일반영화
17,극장판 주술회전 0,박성후,,대원미디어(주),(주)대교 미디어콘텐츠사업본부,2022-02-,개봉영화,장편,일본,836,,,,,애니메이션,15세이상관람가,일반영화
18,앵커,정지연,"(주)인사이트필름,(주)어바웃잇,(주)디씨지플러스",,(주)에이스메이커무비웍스,2022-04-,개봉영화,장편,한국,,,,,,스릴러,15세이상관람가,일반영화
19,뜨거운 피,천명관,주식회사 고래픽처스,,"(주)스튜디오디에이치엘,(주)키다리스튜디오",2022-03-,개봉영화,장편,한국,,,,,,범죄,15세이상관람가,일반영화
20,몬스터 싱어: 매직 인 파리,비보 베르즈롱,,,(주)다날엔터테인먼트,2022-05-,개봉영화,장편,프랑스,266,,,,,애니메이션,전체관람가,독립/예술영화
21,봄날,이돈구,(주)엠씨엠씨,,(주)콘텐츠판다,2022-04-,개봉영화,장편,한국,455,,,,,드라마,15세관람가,독립/예술영화
22,피는 물보다 진하다,김희성,(주)도어이앤엠,,(주)이놀미디어,2022-05-,개봉영화,장편,한국,78,,,,,액션,15세이상관람가,일반영화
23,세븐틴 파워 오브 러브 : 더 무비,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,CGV ICECON",2022-04-,개봉영화,장편,한국,151,,,,,공연,전체관람가,일반영화
24,뜨거운 피: 디 오리지널,천명관,주식회사 고래픽처스,,"(주)스튜디오디에이치엘,(주)키다리스튜디오",2022-05-,개봉영화,장편,한국,59,,,,236,액션,청소년관람불가,일반영화
25,몬스터 아카데미,레오폴도 아귈라,,와이드 릴리즈(주),와이드 릴리즈(주),2022-04-,개봉영화,장편,기타,209,,,,,판타지,전체관람가,일반영화
26,토르: 마법 검의 전설,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2022-05-,개봉영화,장편,독일,201,,,,,애니메이션,전체관람가,일반영화
27,로스트 시티,,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-04-,개봉영화,장편,미국,835,,,,,액션,12세이상관람가,일반영화
28,오마주,신수원,(주)준필름,,트윈플러스파트너스(주),2022-05-,개봉영화,장편,한국,133,,,,,드라마,12세이상관람가,독립/예술영화
29,나를 만나는 길,"마크 J. 프란시스,맥스 퍼그",,(주)티캐스트,(주)티캐스트,2022-05-,개봉영화,장편,영국,53,,,,,다큐멘터리,전체관람가,독립/예술영화
30,매스,프란 크랜즈,,오드,오드,2022-05-,개봉영화,장편,미국,68,,,,,드라마,12세이상관람가,독립/예술영화
31,"파리, 13구",자크 오디아르,,찬란,"찬란,(주)하이스트레인저",2022-05-,개봉영화,장편,프랑스,59,,,,,드라마,청소년관람불가,독립/예술영화
32,뮤지컬 킹키부츠 라이브,브렛 설리반,,(주)씨제이이엔엠,CGV ICECON,2022-04-,개봉영화,장편,영국,47,,,,,공연,12세이상관람가,일반영화
33,더 컨트랙터,타릭 살레,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2022-04-,개봉영화,장편,미국,161,,,,,액션,15세이상관람가,일반영화
34,퍼스트 러브,츠츠미 유키히코,,(주)미디어캐슬,(주)미디어캐슬,2022-05-,개봉영화,장편,일본,8,,,,,미스터리,15세이상관람가,독립/예술영화
35,광대: 소리꾼,조정래,주식회사 제이오엔터테인먼트코리아,,트윈플러스파트너스(주),2022-02-,개봉영화,장편,한국,116,,,,601,사극,12세이상관람가,일반영화
36,더 노비스,로런 해더웨이,,(주)영화사 진진,(주)영화사 진진,2022-05-,개봉영화,장편,미국,52,,,,,스릴러,15세이상관람가,독립/예술영화
37,소설가의 영화,홍상수,(주)영화제작전원사,,"(주)영화제작전원사 ,(주)콘텐츠판다",2022-04-,개봉영화,장편,한국,66,,,,,드라마,12세이상관람가,독립/예술영화
38,배니싱: 미제사건,드니 데르쿠르,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",2022-03-,개봉영화,장편,프랑스,561,,,,,범죄,15세이상관람가,일반영화
39,말임씨를 부탁해,박경목,"(주)파란오이,안목",,(주)씨네필운,2022-04-,개봉영화,장편,한국,197,,,,188,드라마,전체관람가,독립/예술영화
40,파이어스타터,키이스 토마스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-05-,개봉영화,장편,미국,6,,,0,0,공포(호러),12세이상관람가,일반영화
41,완벽한 축사를 준비하는 방법,로랑 티라르,,판씨네마(주),판씨네마(주),2022-05-,개봉영화,장편,프랑스,51,,,,,코미디,15세이상관람가,독립/예술영화
42,스프링 블라썸,,,(주)영화사 진진,(주)영화사 진진,2022-05-,개봉영화,장편,프랑스,36,,,,,드라마,12세이상관람가,독립/예술영화
